Name,Status,Players
1000,beta,2-4
12 Chip Trick,public,2-4
42,public,4
500,beta,2 or 4 or 6
99 (trick-taking card game),public,3-4
Agony Aunt,alpha,4
Aurum,beta,3-4
Bacon,public,3-6
Barbu,public,3-5
Belote,public,4
Big Two,public,2-4
Blot,beta,2-5
Bouncers,alpha,3
Briscola,public,2-5
Calypso,beta,4
Caribbean All Fours,public,4
Cat in the Box: Deluxe Edition,public,2-5
Cheez-Tricks,public,2-5
Chimera,alpha,3
Claim,beta,2-4
Coinche,public,4
Coins,public,3
Crisps,public,2
Cucumber,public,2-8
Diamonds,beta,2-6
Dickory,public,2
Dou Dizhu,public,2-3
ECK,public,1
Enemy Anemone,public,2-6
Euchre,public,2 or 4
Fai-fo,public,3-5
Fibonachos,public,2-5
Five Three Five,beta,2-6
For Northwood!,beta,1
French Tarot,public,3-5
German Whist,public,2
Greasy Spoon,public,2
Grosstarock,public,2-4
HUND,beta,2-5
Haggis,public,2-4
Hearts,public,3-8
Heckin Hounds,public,2-7
Herrlof,public,2-3
Hungarian Tarokk,public,4-6
Inside Job,beta,3-5
Jekyll vs. Hyde,public,2
KQJ,public,6
Kaiser,beta,2 or 4
Klaverjassen,public,4
Knockout Whist,public,2-7
Las Vegan,public,2-5
Lepidoptery,public,2
Lunar,beta,2 or 4
Mate,public,2
Megalomania,public,2-4
Mighty,public,3-7
Mü,beta,4-6
Nanatoridori,public,2-6
Nap,public,2-10
Oh Hell!,public,3-7
Oh-Seven,public,2-9
Onda,public,2-5
Panda Rei,alpha,2-5
Papayoo,public,3-8
Park Life,public,1-8
Pedro,public,4
Phat,public,4
Pinochle,public,2 or 4
Power Vacuum,beta,1-5
President,public,2-8
Propuh,beta,1-2
Qu4to,public,2-5
Quintus,beta,5
Rage,public,3-8
Sail,beta,2
Sasaki,public,3-4
Schnapsen,public,2
Sergeant Major,public,3
Sheepshead,alpha,5
Skat,public,3
Slobberhannes,alpha,3-6
Solo Whist,public,4
Spades,public,4
Sparts,public,4
Spring Cleaning,beta,2-5
Stonks,public,2-5
Taroinche,alpha,5
The Crew,public,2-5
The Crew: Mission Deep Sea,public,2-5
The Fox in the Forest,public,2
The Fox in the Forest: Duet,public,2
The Last,beta,2-5
Tichu,public,4
Tiến Lên,public,2-4
Toepen,public,2-8
TriATri,beta,2-4
Trick of the Rails,public,3-5
Twin Palms,public,2-5
Two-Ten-Jack,public,2-8
Vidrasso,public,2
Whist,beta,2 or 4
Whist 22,public,2-7
Wizard,public,3-6
Wizard Extreme,alpha,3-5
Yokai Septet,public,2-4
Écarté,public,2
